Attack Coverage Report

Total attacks in ATTACK_LOG: 856
Overrides entries: 553

Per-attack summary (ATTACK_LOG order):
- Move: Status | Notes
- ------: -------- | -------
- Absorb: done | Heals half the damage dealt and logs the absorption event. | override: Heals half the damage dealt and logs the absorption event. | override_status: done
- Accelerock: done | Logs `accelerock_dash` so Dash priority is documented. | override: Logs `accelerock_dash` so Dash priority is documented. | override_status: done
- Acid: done | Already handles the 10% SP. DEF drop for 5 activations on hit. | override: Already handles the 10% SP. DEF drop for 5 activations on hit. | override_status: done
- Acid Armor: done | Set-up/resolution flow already recognized. | override: Set-up/resolution flow already recognized. | override_status: done
- Acid Spray: done | Lowers SP. DEF by -2 stages for five activations when it hits. | override: Lowers SP. DEF by -2 stages for five activations when it hits. | override_status: done
- Acrobatics: done | No-item users gain +5 DB, lifting the effective base to 11. | override: No-item users gain +5 DB, lifting the effective base to 11. | override_status: done
- Acupressure: done | Roll 1d8 to buff Attack/Defense/S. Atk/S. Def/Speed/Accuracy (+2 CS), 8 picks the lowest stat. | override: Roll 1d8 to buff Attack/Defense/S. Atk/S. Def/Speed/Accuracy (+2 CS), 8 picks the lowest stat. | override_status: done
- Aerial Ace: done | Always-hit accuracy already handled upstream. | override: Always-hit accuracy already handled upstream. | override_status: done
- Aeroblast: done | Even accuracy rolls now trigger criticals. | override: Even accuracy rolls now trigger criticals. | override_status: done
- After You: done | Schedules the target to act immediately after the caster. | override: Schedules the target to act immediately after the caster. | override_status: done
- Agility: done | Increases Speed by +2 CS with an accompanying log event. | override: Increases Speed by +2 CS with an accompanying log event. | override_status: done
- Air Cutter: done | Rolls ≥18 become forced criticals and emit an event. | override: Rolls ≥18 become forced criticals and emit an event. | override_status: done
- Air Slash: done | Rolls ≥15 inflict Flinch on the defender. | override: Rolls ≥15 inflict Flinch on the defender. | override_status: done
- Ally Switch: done | Swaps the user/ally positions and logs the switch. | override: Swaps the user/ally positions and logs the switch. | override_status: done
- Amnesia: done | Buffs Special Defense by +2 CS and records the change. | override: Buffs Special Defense by +2 CS and records the change. | override_status: done
- Anchor Shot: done | Requires the user to be on an Anchor Token; traps the target for 2 rounds. | override: Requires the user to be on an Anchor Token; traps the target for 2 rounds. | override_status: done
- Ancient Power: done | Rolls ≥19 raise every combat stage by +1 CS. | override: Rolls ≥19 raise every combat stage by +1 CS. | override_status: done
- Apple Acid: done | Lowers the target's Special Defense by 1 CS on hit. | override: Lowers the target's Special Defense by 1 CS on hit. | override_status: done
- Aqua Jet: done | Logs the priority attack so the 1st-strike effect is recorded. | override: Logs the priority attack so the 1st-strike effect is recorded. | override_status: done
- Aqua Ring: done | Applies a healing coat that ticks each turn. | override: Applies a healing coat that ticks each turn. | override_status: done
- Aqua Tail: done | Records the pass-through strike in the log. | override: Records the pass-through strike in the log. | override_status: done
- Arcane Fury: done | Makes the target Vulnerable on rolls of 19+. | override: Makes the target Vulnerable on rolls of 19+. | override_status: done
- Arcane Storm: done | Slows and makes each target Vulnerable for 1 round. | override: Slows and makes each target Vulnerable for 1 round. | override_status: done
- Arm Thrust: done | Five Strike handling already covers the multi-hit behavior. | override: Five Strike handling already covers the multi-hit behavior. | override_status: done
- Aromatherapy: done | Cures one status from each ally. | override: Cures one status from each ally. | override_status: done
- Aromatic Mist: done | Raises each ally’s SP. DEF by +1 CS. | override: Raises each ally’s SP. DEF by +1 CS. | override_status: done
- Assist: done | Selects an ally’s move and logs which one was borrowed. | override: Selects an ally’s move and logs which one was borrowed. | override_status: done
- Assurance: done | Boosts to DB 12 after the target has taken damage this round. | override: Boosts to DB 12 after the target has taken damage this round. | override_status: done
- Astonish: done | Flinches on ≥15 rolls and auto-flinches unaware foes. | override: Flinches on ≥15 rolls and auto-flinches unaware foes. | override_status: done
- Astral Barrage: done | Slows legal targets for one round on hit. | override: Slows legal targets for one round on hit. | override_status: done
- Attack of Opportunity: done | Attack of Opportunity triggers are handled by the interrupt/shift logic. | override: Attack of Opportunity triggers are handled by the interrupt/shift logic. | override_status: done
- Attack Order: done | Critical hit threshold lowered to 18+ with a logged crit roll. | override: Critical hit threshold lowered to 18+ with a logged crit roll. | override_status: done
- Attract: done | Infatuates only opposite-gender targets; fails vs same-gender/genderless. | override: Infatuates only opposite-gender targets; fails vs same-gender/genderless. | override_status: done
- Aura Sphere: done | Cannot miss and already modeled via AC=None in the data. | override: Cannot miss and already modeled via AC=None in the data. | override_status: done
- Aura Wheel: done | Raises the user's Speed by +1 CS on hit. | override: Raises the user's Speed by +1 CS on hit. | override_status: done
- Aurora Beam: done | Lowers the target's Attack by -1 CS on rolls of 18+. | override: Lowers the target's Attack by -1 CS on rolls of 18+. | override_status: done
- Aurora Veil: done | Applies an Aurora Veil blessing to allies during hail. | override: Applies an Aurora Veil blessing to allies during hail. | override_status: done
- Autotomize: done | Raises the user's Speed by +2 CS. | override: Raises the user's Speed by +2 CS. | override_status: done
- Avalanche: done | Queues as a set-up move; DB 12 if the target damaged the user this round. | override: Queues as a set-up move; DB 12 if the target damaged the user this round. | override_status: done
- Baby-Doll Eyes: done | Lowers the target's Attack by -1 CS. | override: Lowers the target's Attack by -1 CS. | override_status: done
- Backswing: done | Enforces Large Melee Weapon requirement. | override: Enforces Large Melee Weapon requirement. | override_status: done
- Bane: done | Applies 3-turn tick damage and a -2 save penalty each turn. | override: Applies 3-turn tick damage and a -2 save penalty each turn. | override_status: done
- Baneful Bunker: done | Blocks the next hit and poisons melee attackers. | override: Blocks the next hit and poisons melee attackers. | override_status: done
- Barb Barrage: done | Poisons on 17+ and can auto-max Five Strike once per scene if the target has a status. | override: Poisons on 17+ and can auto-max Five Strike once per scene if the target has a status. | override_status: done
- Barrage: done | Five Strike handling already covers the multi-hit behavior. | override: Five Strike handling already covers the multi-hit behavior. | override_status: done
- Barrier: done | Places up to 4 barrier segments as blocking terrain on the grid. | override: Places up to 4 barrier segments as blocking terrain on the grid. | override_status: done
- Bash!: done | On 15+ rolls, sets the target's initiative to 0 next round. | override: On 15+ rolls, sets the target's initiative to 0 next round. | override_status: done
