Name
Pin Missile
Brutal Swing
Dragon Claw
Dragon Darts
Dragon Pulse
Dual Chop
Eternabeam
Overdrive
Fairy Wind
Light of Ruin
Arm Thrust
Double Kick
Mach Punch
Meteor Assault
Vacuum Wave
Blast Burn
Dual Wingbeat
Peck
Shadow Sneak
Branch Poke
Bullet Seed
Frenzy Plant
Leafage
Petal Blizzard
Seed Bomb
Wood Hammer
Bone Rush
Bonemerang
Precipice Blades
Ice Shard
Icicle Spear
Barrage
Boomburst
Comet Punch
Double Hit
Double-Edge
Double Slap
Egg Bomb
Extreme Speed
Fury Attack
Fury Swipes
Giga Impact
Horn Attack
Hyper Beam
Mega Punch
Pound
Quick Attack
Scratch
Spike Cannon
Tail Slap
Vicegrip
Prismatic Laser
Accelerock
Power Gem
Rock Throw
Bullet Punch
Gear Grind
Aqua Tail
Hydro Cannon
Origin Pulse
Water Shuriken
Water Shuriken [SM]
Wave Crash
Hidden Power Bug
Hidden Power Dark
Hidden Power Dragon
Hidden Power Electric
Hidden Power Fighting
Hidden Power Fire
Hidden Power Flying
Hidden Power Ghost
Hidden Power Grass
Hidden Power Ground
Hidden Power Ice
Hidden Power Poison
Hidden Power Psychic
Hidden Power Rock
Hidden Power Steel
Hidden Power Water
Hidden Power Fairy
Struggle
Struggle+
Double Swipe
MH Adept
MH Expert
OH Adept
EW Adept
EW Expert
