,Mechanics,,,
Class Name,Mechanic,Effect,,
Cheerleader,Cheered / Excited / Motivated,"»» Cheered – Pokémon or Trainers may give up the Cheered condition when making a Save Check to roll twice, and take the best result.
»» Excited – Pokémon or Trainers may give up the Excited condition when hit by a Damaging Attack to gain +5 Damage Reduction against that attack.
»» Motivated – Pokémon or Trainers may give up the Motivated condition as a Free Action to increase a Combat Stage that is below its Default Value (usually 0 CS) by +1 CS.",,
Duelist,Momentum,"»» Your Pokémon begins each Scene with 0 Momentum.
»» At the end of each Combat round, your Pokémon gains +1 Momentum.
»» Whenever your Pokémon hits a Tagged foe, they gain +1 Momentum.
»» Your Pokémon has a maximum of 6 Momentum. So use a d6 to track it.
»» All Momentum is lost when your Pokémon Faints, your Pokémon is recalled, or combat ends.",,
Taskmaster,Hardened,"Hardened Pokemon receive the following benefits:
»» They do not lose Hit Points from acting while Heavily Injured
»» Injuries beyond the 5th do not lower their Maximum Hit Points
»» If they have 1 or more injuries, they gain +1 to Critical Hit and Effect Range.
»» If they have 3 or more injuries, they gain +1 Evasion and +5 to Initiative.
»» If they have 5 or more injuries, they gain +5 Damage Reduction.
»» If they have 7 or more injuries, they are immune to Loss of Hit Points (but not damage) from all effects.
»» If they have 9 or more injuries, they resist all damage one step further.",,
Type Ace,Type-Linked Skills,"Depending on the chosen Type for Type Ace, the prerequisites for the Class and its Features will change, each Type requiring one of two Type-Linked Skills. The Type-Linked Skills for each Type are:
»» Bug: Command or Survival
»» Dark: Guile or Stealth
»» Dragon: Command or Intimidate
»» Electric: Focus or Technology Education
»» Fairy: Charm or Guile
»» Fighting: Combat or Intuition
»» Fire: Focus or Intimidate
»» Flying: Acrobatics or Perception
»» Ghost: Intimidate or Occult Education
»» Grass: Survival or General Education
»» Ground: Perception or Intuition
»» Ice: Athletics or Survival
»» Normal: Charm or Intuition
»» Poison: Intimidate or Stealth
»» Psychic: Focus or Occult Education
»» Rock: Combat or Survival
»» Steel: Athletics or Intimidate
»» Water: Athletics or Intuition",,
Chronicler,Archives,"»» Profile Archive: You may place Records of Pokémon and Trainers in your Profile Archive. You gain a +2 bonus to Charm, Guile, Command, Intimidate, and Intuition Checks targeting Pokémon and Trainers in your Profile Archive.
»» Technique Archive: You may place Records of Moves in your Technique Archive. You and your Pokémon gain +2 Evasion against Moves in your Technique Archives.
»» Travel Archive: You may place Records of Locations in your Travel Archive. When you gain Travel Archive, choose Keen Eye or Perception. While you are in a Location in your Travel Archive, you have the Chosen Ability and gain a +2 bonus to Perception Checks to notice the environment.",,
Dancer,Dance Moves,"Dance Moves you create with the Dance Form Feature look like the Move below. First, name the Dance Move whatever you like. Secondly, choose two Combat Stage gains for the effect. This may either be +2 Combat Stages to a single Stat, like Swords Dance, or +1 Combat Stage to two different Stats, like Dragon Dance. Once chosen, this cannot be changed. Dragon Dance, Quiver Dance, and Swords Dance count as Dance Moves for the purposes of Dancer Features as well. A Dance Move’s Contest Type must be chosen from a Contest Type associated with a Stat that the Dance Move affects. Cool is associated with Attack, Tough is associated with Defense, Beauty is associated with Special Attack, Smart is associated with Special Defense, and Cute is associated with Speed.

Name
Type: Normal
Frequency: EOT
AC: None
Class: Status
Range: Self
Effect:
Contest Type:
Contest Effect: Get Ready!",,
Musician,Songs,"Musician Songs can be triggered one of four ways. Regardless of the Area of Effect, Songs always affect the user.
»» When using a Move with the Sonic keyword, Songs may be triggered as a Swift Action, and the Song’s Area of Effect is the same as the triggering Move’s.
»» When using a Dance Move, Songs may be triggered as a Shift Action with an Area of Effect of Burst 2.
»» As a Standard Action, you may trigger one Song, with an Area of Effect of Burst 4.
»» As a Full Action, you may trigger two Songs, each with an Area of Effect of Burst 4.

Song of Courage: 1 AP - Special, Trigger: Song
Effect: All Allies in the Area of Effect gain a +2 Bonus to Skill Checks and Save Checks until the end of your next turn.
Song of Life: 1 AP - Special, Trigger: Song
Effect: All Allies in the Area of Effect gain 5 Damage Reduction until the end of your next turn.
Song of Might: 1 AP - Special, Trigger: Song
Effect: All Allies in the Area of Effect gain a +5 Bonus to Damage Rolls until the end of your next turn.",,
Channeler,Channeling,"While Channeling a Pokémon, it may communicate its intentions, emotions, and motivations to you and you may communicate similarly with them; neither party may be deceitful in this exchange. You also become aware of all of its Moves, Abilities, and Capabilities. Allied Channeled Pokémon may always attempt Intercept Maneuvers for each other, regardless of Loyalty. If you are Fainted, you stop Channeling all Pokémon. Whenever you Channel a Pokémon, you have a vague knowledge of what has happened in the Pokémon’s past hour as if they were your own memories.

Note: Channeler has a couple Features with the [Orders] tag. However, because they require that a Pokémon be Channeled, which isn’t League Legal, they actually aren’t of any use in League Legal battles!",,
,Recipes,,,
Recipe Name,Prerequisites,Cost,Effect,
Tasty Snacks,Chef,$100,"You create a Salty Surprise, Spicy Wrap, Sour Candy, Dry Wafer, Bitter Treat, or Sweet Confection.  Input each for details.",
Salty Surprise,Chef,$100,"The user may trade in this Snack’s Digestion/Food Buff when being hit by an attack to gain 5 Temporary Hit Points. If the user likes Salty Flavors, they gain 10 Temporary Hit Points Instead. If the user dislikes Salty Food, they become Enraged.",
Spicy Wrap,Chef,$100,"The user may trade in this Snack’s Digestion/Food Buff when making a Physical attack to deal +5 additional Damage. If the user prefers Spicy Food, it deals +10 additional Damage instead. If the user dislikes Spicy Food, they become Enraged.",
Sour Candy,Chef,$100,"The user may trade in this Snack’s Digestion/Food Buff when being hit by a Physical Attack to increase their Damage Reduction by +5 against that attack. If the user prefers Sour Food, they gain +10 Damage Reduction instead. If the user dislikes Sour Food, they become Enraged.",
Dry Wafer,Chef,$100,"The user may trade in this Snack’s Digestion/Food Buff when making a Special attack to deal +5 additional Damage. If the user prefers Dry Food, it deals +10 additional Damage instead. If the user dislikes Dry Food, they become Enraged.",
Bitter Treat,Chef,$100,"The user may trade in this Snack’s Digestion/Food Buff when being hit by a Special Attack to increase their Damage Reduction by +5 against that attack. If the user prefers Bitter Food, they gain +10 Damage Reduction instead. If the user dislikes Bitter Food, they become Enraged.",
Sweet Confection,Chef,$100,"The user may trade in this Snack’s Digestion/Food Buff to gain +4 Evasion until the end of their next turn. If the user prefers Sweet Food, they gain +4 Accuracy as well. If the user dislikes Sweet Food, they become Enraged.",
Meal Planner,Chef,Varies,"You may create the following items, based on your Intuition Rank
»» Novice: “Enriched Water” for $40
»» Adept: “Super Soda Pop” for $65
»» Expert: “Sparkling Lemonade” for $125
»» Master: “MooMoo Milk” for $250",
