Pokemon,Acrobatics,Acro Mod,Athletics,Athl Mod,Charm,Charm Mod,Combat,Com Mod,Command,Cmd Mod,Gen Ed,Gen Mod,Med Ed,Med Mod,Occult Ed,Occ Mod,Poke Ed,Poke Mod,Tech Ed,Tech Mod,Focus,Focus Mod,Guile,Guile Mod,Intimidate,Intim Mod,Intuition,Int Mod,Perception,Per Mod,Stealth,Slth Mod,Survival,Sur Mod
Abomasnow,2,+0,4,+1,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+0,2,+0,2,+0,2,+0,2,+0,2,+1,2,+0
Abra,2,+0,1,+0,2,+0,1,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+2,2,+0,2,+0,2,+0,4,+0,2,+1,2,+0
Absol,4,+0,3,+2,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+0,2,+0,2,+0,2,+0,3,+0,4,+2,2,+0
Accelgor,5,+2,3,+0,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+0,2,+0,2,+0,2,+0,3,+0,3,+4,2,+0
Aegislash,4,+2,2,+0,2,+0,6,+2,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+0,2,+0,2,+0,2,+0,4,+0,3,+2,2,+0
Aerodactyl,4,+0,5,+2,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+3,2,+0,2,+0,2,+0,3,+1,2,+0,2,+0
Aggron,1,+1,6,+3,2,+0,4,+2,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+2,2,+0,2,+0,2,+0,4,+1,1,+0,2,+0
Aipom,3,+0,2,+0,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,2,+0,2,+0,2,+0
Alakazam,2,+0,2,+2,2,+0,3,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,6,+0,2,+0,2,+0,2,+0,4,+2,2,+0,2,+0
Alomomola,4,+2,4,+2,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+1,2,+0,2,+0,2,+0,3,+0,2,+1,2,+0
Altaria,5,+3,4,+2,2,+0,1,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+1,2,+0,2,+0,2,+0,4,+1,2,+1,2,+0
Amaura,2,+0,3,+0,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,3,+1,3,+0,2,+0
Ambipom,4,+0,3,+0,2,+0,3,+2,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,2,+0,2,+0,2,+0,2,+0,2,+0,2,+0,2,+0
Amoonguss,1,+1,3,+1,2,+0,2,+1,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+2,2,+0,2,+0,2,+0,4,+0,4,+2,2,+0
Ampharos,3,+1,4,+1,2,+0,3,+2,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,4,+0,2,+0,2,+0,2,+0,2,+2,2,+0,2,+0
Anorith,1,+0,2,+2,2,+0,2,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+1,2,+0,2,+0,2,+0,2,+0,2,+2,2,+0
Arbok,3,+0,4,+0,2,+0,3,+2,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+0,2,+0,2,+0,2,+0,2,+2,4,+1,2,+0
Arcanine,3,+1,6,+3,2,+0,4,+0,2,+0,1,+0,1,+0,1,+0,1,+0,1,+0,3,+1,2,+0,2,+0,2,+0,5,+2,2,+2,2,+0
Arceus,4,+3,4,+3,4,+3,4,+3,4,+3,4,+3,4,+3,4,+3,4,+3,4,+3,4,+3,4,+3,4,+3,4,+3,4,+3,4,+3,4,+3
