species,move,level
Abomasnow,Attract,0
Abomasnow,Blizzard,0
Abomasnow,Brick Break,0
Abomasnow,Bulldoze,0
Abomasnow,Double Team,0
Abomasnow,Earthquake,0
Abomasnow,Energy Ball,0
Abomasnow,Facade,0
Abomasnow,Flash,0
Abomasnow,Flash Cannon,0
Abomasnow,Fling,0
Abomasnow,Focus Blast,0
Abomasnow,Frost Breath,0
Abomasnow,Frustration,0
Abomasnow,Giga Impact,0
Abomasnow,Grass Knot,0
Abomasnow,Grass Whistle,13
Abomasnow,Hail,0
Abomasnow,Hidden Power,0
Abomasnow,Hidden Power Bug,0
Abomasnow,Hidden Power Dark,0
Abomasnow,Hidden Power Dragon,0
Abomasnow,Hidden Power Electric,0
Abomasnow,Hidden Power Fairy,0
Abomasnow,Hidden Power Fighting,0
Abomasnow,Hidden Power Fire,0
Abomasnow,Hidden Power Flying,0
Abomasnow,Hidden Power Ghost,0
Abomasnow,Hidden Power Grass,0
Abomasnow,Hidden Power Ground,0
Abomasnow,Hidden Power Ice,0
Abomasnow,Hidden Power Poison,0
Abomasnow,Hidden Power Psychic,0
Abomasnow,Hidden Power Rock,0
Abomasnow,Hidden Power Steel,0
Abomasnow,Hidden Power Water,0
Abomasnow,Hyper Beam,0
Abomasnow,Ice Beam,0
Abomasnow,Ice Shard,26
Abomasnow,Icy Wind,9
Abomasnow,Ingrain,31
Abomasnow,Light Screen,0
Abomasnow,Mist,21
Abomasnow,Mist Ball,21
Abomasnow,Misty Explosion,21
Abomasnow,Misty Terrain,21
Abomasnow,Protect,0
Abomasnow,Rain Dance,0
Abomasnow,Razor Leaf,5
Abomasnow,Rest,0
Abomasnow,Return,0
Abomasnow,Rock Slide,0
Abomasnow,Rock Smash,0
Abomasnow,Rock Tomb,0
Abomasnow,Round,0
Abomasnow,Safeguard,0
Abomasnow,Shadow Ball,0
Abomasnow,Sheer Cold,58
Abomasnow,Sleep Talk,0
Abomasnow,Solar Beam,0
Abomasnow,Strength,0
Abomasnow,Strength Sap,0
Abomasnow,Substitute,0
Abomasnow,Swagger,0
Abomasnow,Swagger [SM],0
Abomasnow,Swords Dance,0
Abomasnow,Toxic,0
Abomasnow,Toxic Spikes,0
Abomasnow,Toxic Threads,0
Abomasnow,Wood Hammer,36
Abomasnow Mega Evolution,Attract,0
Abomasnow Mega Evolution,Blizzard,0
Abomasnow Mega Evolution,Brick Break,0
Abomasnow Mega Evolution,Bulldoze,0
Abomasnow Mega Evolution,Double Team,0
Abomasnow Mega Evolution,Earthquake,0
Abomasnow Mega Evolution,Energy Ball,0
Abomasnow Mega Evolution,Facade,0
Abomasnow Mega Evolution,Flash,0
Abomasnow Mega Evolution,Flash Cannon,0
Abomasnow Mega Evolution,Fling,0
Abomasnow Mega Evolution,Focus Blast,0
Abomasnow Mega Evolution,Frost Breath,0
Abomasnow Mega Evolution,Frustration,0
Abomasnow Mega Evolution,Giga Impact,0
Abomasnow Mega Evolution,Grass Knot,0
Abomasnow Mega Evolution,Grass Whistle,13
Abomasnow Mega Evolution,Hail,0
Abomasnow Mega Evolution,Hidden Power,0
Abomasnow Mega Evolution,Hidden Power Bug,0
Abomasnow Mega Evolution,Hidden Power Dark,0
Abomasnow Mega Evolution,Hidden Power Dragon,0
Abomasnow Mega Evolution,Hidden Power Electric,0
